"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Mar-2025","EQ","967.85","976.45","942.05","959.90","948.00","948.65","959.80","2,174.10","758.00","40,83,088","3,91,89,31,528.25","90,367"
"27-Mar-2025","EQ","910.00","966.60","905.20","912.10","958.00","959.90","941.65","2,174.10","758.00","59,18,219","5,57,28,64,238.75","1,14,942"
"26-Mar-2025","EQ","921.95","942.00","910.00","923.40","912.00","912.10","923.95","2,174.10","758.00","31,94,761","2,95,18,12,953.85","68,042"
"25-Mar-2025","EQ","959.00","966.00","916.00","952.90","918.00","923.40","941.97","2,174.10","758.00","35,04,686","3,30,13,09,638.55","86,827"
"24-Mar-2025","EQ","972.00","981.00","949.05","954.25","952.00","952.90","961.24","2,174.10","758.00","36,32,791","3,49,19,71,910.15","82,594"
"21-Mar-2025","EQ","925.00","983.35","920.55","923.40","957.00","954.25","957.76","2,174.10","758.00","81,47,557","7,80,34,13,714.15","1,69,547"
"20-Mar-2025","EQ","920.30","927.95","902.05","911.20","921.60","923.40","915.92","2,174.10","758.00","32,10,117","2,94,02,00,173.90","68,499"
"19-Mar-2025","EQ","904.05","918.75","901.40","900.90","908.70","911.20","912.49","2,174.10","758.00","29,80,425","2,71,96,04,014.05","63,758"
"18-Mar-2025","EQ","904.70","911.90","889.10","896.45","901.00","900.90","901.65","2,174.10","758.00","42,22,109","3,80,68,67,447.15","92,532"
"17-Mar-2025","EQ","873.65","908.45","868.85","873.65","896.00","896.45","895.06","2,174.10","758.00","59,03,492","5,28,39,95,006.80","1,30,474"
"13-Mar-2025","EQ","874.00","896.85","858.00","853.45","871.90","873.65","880.11","2,174.10","758.00","1,17,79,180","10,36,69,22,595.90","2,14,029"
"12-Mar-2025","EQ","834.40","858.00","806.35","824.20","854.90","853.45","834.59","2,174.10","758.00","48,26,264","4,02,79,45,406.35","88,597"
"11-Mar-2025","EQ","819.25","834.35","810.60","826.05","833.25","824.20","821.32","2,174.10","758.00","34,95,317","2,87,07,77,180.80","75,002"
"10-Mar-2025","EQ","840.90","871.00","823.25","837.20","825.00","826.05","844.17","2,174.10","758.00","65,95,111","5,56,74,15,549.50","1,29,753"
"07-Mar-2025","EQ","840.00","847.30","823.15","845.95","841.90","837.20","834.56","2,174.10","758.00","60,78,435","5,07,28,45,493.05","1,16,888"
"06-Mar-2025","EQ","868.80","872.45","836.00","848.70","843.20","845.95","850.96","2,174.10","758.00","1,01,66,566","8,65,13,90,358.15","1,81,600"
