"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Mar-2025","EQ","2,247.00","2,296.00","2,240.30","2,244.65","2,257.85","2,258.85","2,269.13","3,035.00","2,136.00","22,80,152","5,17,39,64,115.85","98,348"
"27-Mar-2025","EQ","2,244.20","2,260.90","2,200.00","2,245.95","2,243.85","2,244.65","2,245.33","3,035.00","2,136.00","37,52,627","8,42,58,74,289.35","1,05,998"
"26-Mar-2025","EQ","2,272.00","2,279.90","2,237.80","2,271.30","2,246.30","2,245.95","2,258.68","3,035.00","2,136.00","14,16,907","3,20,03,33,405.75","96,908"
"25-Mar-2025","EQ","2,250.75","2,292.00","2,243.35","2,256.20","2,264.70","2,271.30","2,271.30","3,035.00","2,136.00","22,29,340","5,06,35,05,026.45","1,13,061"
"24-Mar-2025","EQ","2,250.25","2,266.00","2,241.00","2,246.20","2,265.15","2,256.20","2,251.01","3,035.00","2,136.00","14,54,404","3,27,38,76,899.10","66,657"
"21-Mar-2025","EQ","2,245.00","2,255.20","2,225.80","2,242.40","2,247.50","2,246.20","2,244.27","3,035.00","2,136.00","21,52,415","4,83,06,00,492.90","89,511"
"20-Mar-2025","EQ","2,203.90","2,248.90","2,188.45","2,200.05","2,239.45","2,242.40","2,231.62","3,035.00","2,136.00","14,26,689","3,18,38,21,438.55","75,743"
"19-Mar-2025","EQ","2,207.00","2,212.85","2,193.45","2,201.40","2,198.95","2,200.05","2,200.94","3,035.00","2,136.00","13,41,405","2,95,23,52,215.35","68,294"
"18-Mar-2025","EQ","2,189.65","2,215.00","2,175.00","2,171.25","2,204.90","2,201.40","2,200.91","3,035.00","2,136.00","14,75,585","3,24,76,33,509.10","74,920"
"17-Mar-2025","EQ","2,161.00","2,195.45","2,156.50","2,174.80","2,172.50","2,171.25","2,169.26","3,035.00","2,136.00","11,11,886","2,41,19,64,953.40","77,099"
"13-Mar-2025","EQ","2,185.00","2,209.95","2,164.45","2,192.90","2,177.00","2,174.80","2,185.53","3,035.00","2,136.00","18,45,629","4,03,36,79,411.75","97,573"
