"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Mar-2025","EQ","227.18","232.30","226.11","225.78","227.03","227.51","229.12","394.70","198.65","3,03,56,334","6,95,50,94,152.08","1,87,935"
"27-Mar-2025","EQ","222.17","228.00","221.33","222.67","225.20","225.78","225.44","394.70","198.65","18,88,68,886","42,57,94,30,331.42","2,59,264"
"26-Mar-2025","EQ","228.00","228.90","222.01","227.53","222.17","222.67","225.21","394.70","198.65","1,93,72,538","4,36,28,70,615.58","1,30,710"
"25-Mar-2025","EQ","234.10","234.20","226.31","232.68","226.90","227.53","229.39","394.70","198.65","2,24,92,788","5,15,95,73,953.92","1,55,616"
"24-Mar-2025","EQ","231.90","234.46","230.70","229.12","232.90","232.68","232.77","394.70","198.65","2,66,07,361","6,19,32,93,660.02","1,44,442"
"21-Mar-2025","EQ","232.00","235.94","228.05","231.69","229.58","229.12","230.95","394.70","198.65","4,68,79,564","10,82,70,06,420.15","1,80,702"
"20-Mar-2025","EQ","231.00","234.25","228.95","228.84","232.00","231.69","231.93","394.70","198.65","2,44,26,400","5,66,53,16,729.82","1,34,331"
"19-Mar-2025","EQ","227.27","231.25","225.64","225.18","228.10","228.84","229.21","394.70","198.65","2,14,56,932","4,91,81,36,386.57","1,24,749"
"18-Mar-2025","EQ","221.10","225.50","220.71","219.52","225.21","225.18","222.64","394.70","198.65","2,80,81,319","6,25,21,10,202.77","1,17,438"
"17-Mar-2025","EQ","223.12","223.85","218.54","222.60","219.58","219.52","220.92","394.70","198.65","2,22,90,925","4,92,44,19,476.53","1,17,597"
"13-Mar-2025","EQ","227.88","228.94","221.32","225.53","223.10","222.60","224.72","394.70","198.65","2,52,19,084","5,66,71,71,866.25","1,53,269"
"12-Mar-2025","EQ","220.00","226.50","216.72","217.56","225.91","225.53","221.75","394.70","198.65","2,84,55,086","6,30,98,52,800.75","1,43,562"
"11-Mar-2025","EQ","214.70","218.99","213.01","216.50","218.75","217.56","216.27","394.70","198.65","2,01,18,890","4,35,11,48,839.16","1,26,568"
"10-Mar-2025","EQ","222.60","224.90","215.50","221.81","215.85","216.50","220.04","394.70","198.65","1,95,21,402","4,29,55,72,541.34","1,26,842"
"07-Mar-2025","EQ","220.00","224.50","218.79","219.94","221.90","221.81","222.43","394.70","198.65","2,79,97,558","6,22,76,25,802.65","1,65,176"
