"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Mar-2025","EQ","3,509.90","3,514.00","3,472.55","3,501.60","3,488.00","3,492.30","3,490.61","3,963.50","3,141.00","13,48,143","4,70,58,36,932.10","78,826"
"27-Mar-2025","EQ","3,460.00","3,528.00","3,451.00","3,444.80","3,510.05","3,501.60","3,505.96","3,963.50","3,141.00","34,67,864","12,15,81,79,075.00","1,71,894"
"26-Mar-2025","EQ","3,473.00","3,496.80","3,418.50","3,469.60","3,451.00","3,444.80","3,458.66","3,963.50","3,141.00","23,15,715","8,00,92,67,716.35","1,52,200"
"25-Mar-2025","EQ","3,505.00","3,525.00","3,435.35","3,481.85","3,452.85","3,469.60","3,474.74","3,963.50","3,141.00","42,35,900","14,71,86,50,807.85","1,74,082"
"24-Mar-2025","EQ","3,449.00","3,517.00","3,446.00","3,415.95","3,483.05","3,481.85","3,483.78","3,963.50","3,141.00","19,55,564","6,81,27,54,571.90","1,15,273"
"21-Mar-2025","EQ","3,357.00","3,455.00","3,332.75","3,351.05","3,415.05","3,415.95","3,416.15","3,963.50","3,141.00","30,42,073","10,39,21,74,228.35","1,45,340"
"20-Mar-2025","EQ","3,335.25","3,358.90","3,276.90","3,319.55","3,352.50","3,351.05","3,327.53","3,963.50","3,141.00","24,34,722","8,10,16,21,701.30","97,496"
"19-Mar-2025","EQ","3,275.00","3,326.60","3,268.50","3,270.70","3,318.00","3,319.55","3,307.23","3,963.50","3,141.00","16,16,312","5,34,55,20,793.35","88,804"
"18-Mar-2025","EQ","3,194.00","3,278.65","3,189.30","3,173.45","3,271.00","3,270.70","3,248.31","3,963.50","3,141.00","20,29,984","6,59,40,15,430.45","1,23,494"
"17-Mar-2025","EQ","3,190.00","3,240.05","3,159.00","3,187.30","3,175.55","3,173.45","3,187.76","3,963.50","3,141.00","28,05,790","8,94,41,76,882.10","1,22,254"
"13-Mar-2025","EQ","3,202.25","3,233.15","3,178.05","3,193.65","3,189.00","3,187.30","3,203.74","3,963.50","3,141.00","14,14,376","4,53,12,91,301.85","83,033"
"12-Mar-2025","EQ","3,205.00","3,221.95","3,153.05","3,195.45","3,190.00","3,193.65","3,180.42","3,963.50","3,141.00","13,60,149","4,32,58,51,450.40","78,130"
"11-Mar-2025","EQ","3,170.30","3,204.40","3,161.10","3,177.70","3,203.80","3,195.45","3,184.34","3,963.50","3,141.00","12,74,649","4,05,89,18,929.95","81,156"
"10-Mar-2025","EQ","3,246.00","3,246.30","3,169.05","3,244.70","3,177.80","3,177.70","3,201.45","3,963.50","3,141.00","17,77,752","5,69,13,90,324.10","1,06,319"
"07-Mar-2025","EQ","3,259.90","3,289.00","3,240.10","3,259.90","3,246.00","3,244.70","3,257.65","3,963.50","3,141.00","9,30,240","3,03,03,94,882.80","96,014"
"06-Mar-2025","EQ","3,250.10","3,266.45","3,215.00","3,239.65","3,258.00","3,259.90","3,247.81","3,963.50","3,141.00","18,54,837","6,02,41,66,642.70","1,34,338"
