"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Mar-2025","EQ","1,13,800.00","1,14,397.00","1,12,084.35","1,13,264.05","1,12,500.25","1,12,677.75","1,12,937.96","1,43,849.90","1,02,124.05","7,320","82,67,05,866.45","5,233"
"27-Mar-2025","EQ","1,14,003.00","1,14,200.00","1,12,445.00","1,14,321.20","1,13,939.70","1,13,264.05","1,13,188.28","1,43,849.90","1,02,124.05","10,576","1,19,70,79,289.45","7,707"
"26-Mar-2025","EQ","1,14,126.50","1,15,500.00","1,13,900.10","1,14,264.50","1,14,008.70","1,14,321.20","1,14,844.44","1,43,849.90","1,02,124.05","5,979","68,66,54,888.20","4,284"
"25-Mar-2025","EQ","1,15,925.00","1,16,000.00","1,13,509.85","1,14,020.80","1,14,115.00","1,14,264.50","1,14,610.70","1,43,849.90","1,02,124.05","8,037","92,11,26,213.85","5,495"
"24-Mar-2025","EQ","1,12,990.00","1,14,300.00","1,12,651.30","1,12,050.15","1,14,150.00","1,14,020.80","1,13,907.54","1,43,849.90","1,02,124.05","5,731","65,28,04,087.80","4,028"
"21-Mar-2025","EQ","1,11,440.00","1,12,799.95","1,11,042.45","1,11,107.90","1,12,100.00","1,12,050.15","1,12,131.46","1,43,849.90","1,02,124.05","8,367","93,82,03,887.95","5,828"
"20-Mar-2025","EQ","1,10,500.00","1,11,450.00","1,10,161.15","1,09,922.80","1,11,230.00","1,11,107.90","1,10,951.56","1,43,849.90","1,02,124.05","5,687","63,09,81,505.25","3,631"
"19-Mar-2025","EQ","1,07,999.70","1,10,099.00","1,07,999.70","1,07,839.20","1,10,099.00","1,09,922.80","1,09,099.63","1,43,849.90","1,02,124.05","6,057","66,08,16,478.60","4,141"
"18-Mar-2025","EQ","1,05,500.00","1,07,950.00","1,05,500.00","1,05,410.80","1,07,850.10","1,07,839.20","1,07,154.67","1,43,849.90","1,02,124.05","4,928","52,80,58,213.80","3,410"
"17-Mar-2025","EQ","1,05,200.00","1,06,440.70","1,05,200.00","1,05,041.60","1,05,400.05","1,05,410.80","1,05,688.16","1,43,849.90","1,02,124.05","3,891","41,12,32,627.80","2,912"
"13-Mar-2025","EQ","1,07,264.25","1,07,264.25","1,04,800.00","1,07,264.25","1,05,200.00","1,05,041.60","1,05,621.11","1,45,337.30","1,02,124.05","9,096","96,07,29,633.35","5,380"
"12-Mar-2025","EQ","1,07,000.00","1,07,475.75","1,06,309.00","1,06,534.30","1,07,115.80","1,07,264.25","1,06,933.67","1,45,337.30","1,02,124.05","3,589","38,37,84,949.95","2,709"
"11-Mar-2025","EQ","1,06,500.00","1,06,859.95","1,05,576.05","1,06,650.60","1,06,800.00","1,06,534.30","1,06,304.39","1,45,337.30","1,02,124.05","3,772","40,09,80,174.80","2,594"
"10-Mar-2025","EQ","1,07,839.00","1,08,197.95","1,06,174.75","1,07,202.95","1,06,407.50","1,06,650.60","1,07,096.34","1,45,337.30","1,02,124.05","5,348","57,27,51,214.05","3,636"
"07-Mar-2025","EQ","1,07,500.00","1,08,650.00","1,07,001.50","1,07,795.30","1,07,450.00","1,07,202.95","1,07,773.77","1,47,144.95","1,02,124.05","4,698","50,63,21,172.50","3,488"
"06-Mar-2025","EQ","1,06,995.50","1,08,250.00","1,06,500.05","1,05,805.50","1,07,502.00","1,07,795.30","1,07,497.97","1,47,144.95","1,02,124.05","5,969","64,16,55,358.40","4,321"
"05-Mar-2025","EQ","1,02,345.60","1,05,962.50","1,02,124.05","1,02,659.40","1,05,800.00","1,05,805.50","1,04,497.04","1,47,144.95","1,02,124.05","6,770","70,74,44,942.50","5,102"
"04-Mar-2025","EQ","1,04,900.00","1,05,170.25","1,02,351.00","1,05,170.25","1,02,731.00","1,02,659.40","1,03,599.79","1,47,144.95","1,02,351.00","13,881","1,43,80,68,703.75","7,837"
"03-Mar-2025","EQ","1,05,500.00","1,06,190.85","1,04,025.00","1,05,373.70","1,05,346.65","1,05,170.25","1,04,878.70","1,47,144.95","1,03,824.10","4,599","48,23,37,119.45","3,470"
"28-Feb-2025","EQ","1,05,480.00","1,05,649.75","1,03,824.10","1,05,723.40","1,05,500.00","1,05,373.70","1,04,894.75","1,51,224.75","1,03,824.10","8,766","91,95,07,352.65","6,030"
"27-Feb-2025","EQ","1,07,399.00","1,07,879.85","1,05,250.45","1,07,203.95","1,05,479.95","1,05,723.40","1,06,344.22","1,51,224.75","1,05,250.45","8,469","90,06,29,238.40","6,078"
"25-Feb-2025","EQ","1,08,700.00","1,09,244.95","1,07,000.00","1,08,842.00","1,07,190.00","1,07,203.95","1,08,126.65","1,51,224.75","1,06,335.00","4,923","53,23,07,494.70","3,270"
"24-Feb-2025","EQ","1,09,260.00","1,09,500.00","1,08,149.00","1,09,263.30","1,08,700.00","1,08,842.00","1,08,787.57","1,51,224.75","1,06,335.00","4,368","47,51,84,124.75","3,259"
"21-Feb-2025","EQ","1,09,900.00","1,10,371.00","1,08,786.00","1,09,938.70","1,09,297.00","1,09,263.30","1,09,398.77","1,51,445.00","1,06,335.00","5,319","58,18,92,044.60","3,382"
"20-Feb-2025","EQ","1,09,750.00","1,10,400.00","1,08,880.60","1,09,570.70","1,09,840.50","1,09,938.70","1,09,844.02","1,51,445.00","1,06,335.00","3,751","41,20,24,912.95","2,344"
"19-Feb-2025","EQ","1,08,800.00","1,09,900.00","1,08,269.10","1,09,020.45","1,09,178.60","1,09,570.70","1,09,301.48","1,51,445.00","1,06,335.00","3,428","37,46,85,472.80","2,710"
