"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Mar-2025","EQ","96.41","97.98","95.50","96.41","95.84","96.13","96.65","142.90","85.46","2,17,12,434","2,09,85,26,088.46","62,265"
"27-Mar-2025","EQ","92.69","96.76","91.92","92.86","96.07","96.41","95.67","142.90","85.46","6,20,10,832","5,93,23,83,115.55","1,18,555"
"26-Mar-2025","EQ","93.86","94.74","92.69","93.81","92.85","92.86","93.55","142.90","85.46","1,99,04,559","1,86,21,09,998.91","76,244"
"25-Mar-2025","EQ","96.50","96.60","93.51","95.93","93.59","93.81","94.86","142.90","85.46","2,01,48,506","1,91,11,97,444.61","61,383"
"24-Mar-2025","EQ","94.20","96.29","93.65","93.14","95.99","95.93","95.50","142.90","85.46","2,51,03,209","2,39,73,13,869.02","70,081"
"21-Mar-2025","EQ","91.30","93.43","91.00","91.30","93.37","93.14","92.56","142.90","85.46","2,28,38,586","2,11,40,13,616.08","71,515"
"20-Mar-2025","EQ","91.66","92.83","90.91","91.02","91.35","91.30","91.64","142.90","85.46","1,60,00,840","1,46,63,77,495.32","48,670"
"19-Mar-2025","EQ","89.50","91.33","89.10","88.95","91.05","91.02","90.63","142.90","85.46","2,01,55,513","1,82,66,73,761.03","56,544"
"18-Mar-2025","EQ","88.00","89.50","87.65","87.47","88.95","88.95","88.72","142.90","85.46","1,59,97,074","1,41,92,65,727.17","60,097"
"17-Mar-2025","EQ","87.40","87.95","86.62","87.20","87.50","87.47","87.22","142.90","85.46","1,51,82,528","1,32,42,37,353.77","47,958"
"13-Mar-2025","EQ","87.45","87.85","86.34","86.90","87.00","87.20","87.34","142.90","85.46","1,47,71,127","1,29,01,29,874.82","52,879"
"12-Mar-2025","EQ","88.54","88.99","85.70","88.17","86.89","86.90","86.94","142.90","85.46","2,01,28,306","1,75,00,27,051.31","59,649"
"11-Mar-2025","EQ","87.80","88.89","86.75","88.60","88.54","88.17","87.93","142.90","85.46","1,17,31,107","1,03,14,95,150.68","50,335"
"10-Mar-2025","EQ","91.00","91.49","88.28","91.17","88.42","88.60","89.88","142.90","85.46","2,07,54,269","1,86,53,20,102.59","71,840"
"07-Mar-2025","EQ","90.91","91.76","90.50","90.99","90.90","91.17","91.06","142.90","85.46","1,64,24,249","1,49,56,36,583.91","53,602"
"06-Mar-2025","EQ","90.51","92.00","90.50","89.74","90.84","90.99","91.04","142.90","85.46","2,53,78,584","2,31,04,52,746.82","52,756"
"05-Mar-2025","EQ","87.00","90.13","87.00","87.09","89.78","89.74","89.24","142.90","85.46","2,66,22,932","2,37,59,18,332.16","67,839"
"04-Mar-2025","EQ","86.50","88.55","85.46","87.29","87.19","87.09","87.38","142.90","85.46","1,93,63,016","1,69,19,25,368.76","70,215"
"03-Mar-2025","EQ","87.80","88.70","85.49","87.39","87.28","87.29","86.89","142.90","85.49","2,95,08,306","2,56,39,99,388.59","82,561"
"28-Feb-2025","EQ","91.29","91.29","87.00","91.96","87.38","87.39","88.36","142.90","87.00","3,99,44,640","3,52,96,99,159.43","1,23,443"
"27-Feb-2025","EQ","93.50","93.85","91.60","93.12","91.72","91.96","92.40","142.90","90.16","2,71,69,438","2,51,04,69,039.84","86,911"
"25-Feb-2025","EQ","94.00","94.79","92.66","93.99","93.01","93.12","93.20","142.90","90.16","1,71,27,179","1,59,61,84,550.86","52,944"
"24-Feb-2025","EQ","93.50","94.64","92.78","94.25","94.09","93.99","93.74","142.90","90.16","1,25,52,679","1,17,67,48,583.67","47,288"
"21-Feb-2025","EQ","95.54","96.29","93.81","95.65","94.15","94.25","94.88","142.90","90.16","1,29,76,716","1,23,12,05,425.87","52,058"
"20-Feb-2025","EQ","92.65","96.08","92.00","92.86","95.59","95.65","94.99","142.90","90.16","2,16,19,032","2,05,35,57,280.60","79,586"
"19-Feb-2025","EQ","91.00","93.59","90.59","91.86","92.80","92.86","92.73","142.90","90.16","1,47,82,674","1,37,07,32,749.74","49,283"
"18-Feb-2025","EQ","93.00","93.44","91.30","93.18","91.74","91.86","91.94","142.90","90.16","1,27,84,429","1,17,53,89,184.54","53,555"
"17-Feb-2025","EQ","92.23","93.49","90.16","92.25","93.49","93.18","92.02","142.90","90.16","1,95,98,957","1,80,34,79,879.49","60,811"
"14-Feb-2025","EQ","95.35","95.49","91.01","94.64","92.23","92.25","92.77","142.90","91.01","2,12,24,323","1,96,89,74,108.58","83,581"
"13-Feb-2025","EQ","95.67","96.66","94.50","95.67","94.55","94.64","95.68","142.90","91.90","1,31,74,852","1,26,05,43,087.86","50,037"
"12-Feb-2025","EQ","95.40","96.31","91.90","95.22","95.75","95.67","94.59","142.90","91.90","2,83,56,228","2,68,22,54,059.37","92,830"
"11-Feb-2025","EQ","98.26","98.74","95.01","98.31","95.13","95.22","95.95","142.90","92.40","2,33,77,744","2,24,30,93,889.11","88,427"
"10-Feb-2025","EQ","99.25","99.84","97.85","99.27","98.24","98.31","98.57","142.90","92.40","1,72,24,807","1,69,77,71,874.97","58,907"
