"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Mar-2025","EQ","656.65","660.40","624.00","656.40","637.20","636.25","641.21","671.30","452.10","44,21,109","2,83,48,55,335.35","98,266"
"27-Mar-2025","EQ","650.00","663.75","649.95","652.40","657.00","656.40","656.81","671.30","452.10","33,98,420","2,23,21,11,311.45","66,088"
"26-Mar-2025","EQ","652.00","656.85","644.00","653.00","650.50","652.40","652.74","671.30","452.10","15,70,129","1,02,48,91,036.25","52,881"
"25-Mar-2025","EQ","663.90","663.90","648.10","658.45","652.00","653.00","654.34","671.30","452.10","9,88,124","64,65,64,250.05","34,621"
"24-Mar-2025","EQ","667.95","668.80","657.40","658.85","660.00","658.45","662.43","671.30","452.10","18,78,198","1,24,41,66,466.70","59,011"
"21-Mar-2025","EQ","649.00","671.30","645.65","646.85","662.30","658.85","661.11","671.30","449.25","52,31,169","3,45,83,86,256.45","97,095"
"20-Mar-2025","EQ","648.95","651.45","644.10","646.30","647.40","646.85","647.87","658.25","449.25","12,72,076","82,41,35,768.90","44,047"
"19-Mar-2025","EQ","641.00","648.00","636.90","635.20","646.35","646.30","644.26","658.25","449.25","15,33,871","98,82,13,650.85","36,390"
"18-Mar-2025","EQ","630.00","636.75","623.15","626.15","634.00","635.20","630.43","658.25","449.25","21,32,031","1,34,40,86,927.65","66,104"
"17-Mar-2025","EQ","601.45","627.90","601.45","601.45","625.60","626.15","620.13","658.25","449.25","23,77,362","1,47,42,68,351.10","72,372"
"13-Mar-2025","EQ","610.90","614.40","600.40","608.05","602.15","601.45","606.03","658.25","447.80","14,76,114","89,45,73,398.50","43,864"
"12-Mar-2025","EQ","617.95","620.15","599.95","615.05","607.15","608.05","607.80","658.25","447.80","18,15,285","1,10,33,32,247.65","45,711"
"11-Mar-2025","EQ","613.45","618.85","602.35","615.45","614.35","615.05","613.53","658.25","447.80","15,64,110","95,96,21,502.30","37,203"
"10-Mar-2025","EQ","631.45","637.00","611.85","629.85","615.00","615.45","622.75","658.25","447.80","14,28,305","88,94,74,636.00","41,854"
"07-Mar-2025","EQ","624.55","642.70","620.40","624.70","631.50","629.85","633.17","658.25","447.80","20,73,888","1,31,31,17,849.45","49,520"
"06-Mar-2025","EQ","634.90","639.25","622.70","627.85","622.70","624.70","627.77","658.25","447.80","16,17,185","1,01,52,20,434.05","41,048"
"05-Mar-2025","EQ","615.00","630.20","614.15","613.40","627.45","627.85","625.65","658.25","447.80","23,67,281","1,48,10,99,115.70","64,992"
"04-Mar-2025","EQ","607.00","619.60","607.00","616.70","614.20","613.40","612.83","658.25","447.80","15,57,537","95,45,02,791.75","35,010"
"03-Mar-2025","EQ","628.10","634.15","611.25","632.95","615.45","616.70","620.27","658.25","447.80","32,73,667","2,03,05,45,180.60","69,472"
"28-Feb-2025","EQ","635.00","641.00","619.50","643.65","630.15","632.95","628.95","658.25","447.80","46,76,015","2,94,09,70,792.65","80,203"
"27-Feb-2025","EQ","648.00","648.35","634.20","647.50","640.45","643.65","641.26","658.25","447.80","27,17,730","1,74,27,58,675.60","81,375"
"25-Feb-2025","EQ","648.10","657.30","645.00","645.20","645.00","647.50","650.95","658.25","447.80","15,81,083","1,02,92,09,907.85","52,566"
"24-Feb-2025","EQ","643.75","648.95","638.30","646.35","646.00","645.20","645.21","658.25","447.80","12,93,274","83,44,33,115.15","40,843"
"21-Feb-2025","EQ","648.00","658.25","637.40","647.25","643.90","646.35","647.71","658.25","447.80","13,66,273","88,49,49,685.70","39,517"
"20-Feb-2025","EQ","650.05","653.95","644.25","650.05","646.95","647.25","648.72","653.95","447.80","21,42,244","1,38,97,16,443.15","51,193"
"19-Feb-2025","EQ","629.85","651.70","621.00","630.80","651.00","650.05","645.87","651.70","447.80","27,62,726","1,78,43,53,598.00","65,584"
"18-Feb-2025","EQ","633.00","634.35","625.20","632.20","629.40","630.80","629.80","649.45","447.80","14,09,475","88,76,91,268.35","30,732"
"17-Feb-2025","EQ","618.20","633.75","609.90","618.35","632.00","632.20","624.34","649.45","447.80","14,81,549","92,49,95,457.45","43,217"
"14-Feb-2025","EQ","631.00","633.90","610.25","629.75","617.30","618.35","616.62","649.45","447.80","37,46,024","2,30,98,56,401.85","97,729"
"13-Feb-2025","EQ","620.50","638.90","615.00","620.50","631.00","629.75","630.64","649.45","447.80","31,81,044","2,00,60,85,368.10","76,048"
"12-Feb-2025","EQ","610.70","624.30","594.45","610.70","621.90","620.50","611.46","649.45","447.80","23,15,031","1,41,55,60,296.35","52,419"
"11-Feb-2025","EQ","635.00","636.80","608.20","634.95","609.95","610.70","616.22","649.45","447.80","25,25,324","1,55,61,47,766.50","44,188"
"10-Feb-2025","EQ","641.25","643.00","631.80","641.35","634.10","634.95","635.74","649.45","447.80","19,32,363","1,22,84,89,676.70","51,425"
"07-Feb-2025","EQ","642.05","648.70","635.10","644.75","641.55","641.35","641.26","649.45","447.80","23,40,663","1,50,09,66,332.95","50,408"
"06-Feb-2025","EQ","644.00","646.85","626.45","645.45","644.00","644.75","640.17","649.45","447.80","38,85,141","2,48,71,33,823.10","97,580"
"05-Feb-2025","EQ","636.00","649.45","632.00","636.90","645.60","645.45","643.62","649.45","447.80","33,72,838","2,17,08,38,243.00","93,350"
"04-Feb-2025","EQ","637.50","641.55","625.00","630.25","635.00","636.90","634.12","641.55","447.80","35,41,038","2,24,54,25,523.05","98,182"
"03-Feb-2025","EQ","610.00","636.80","607.55","604.00","629.50","630.25","627.34","636.80","447.80","1,27,13,558","7,97,56,98,298.60","2,64,292"
"01-Feb-2025","EQ","609.80","617.80","597.05","603.75","599.20","604.00","608.01","625.00","447.80","59,61,908","3,62,49,16,583.00","1,24,360"
"31-Jan-2025","EQ","573.00","617.80","567.75","566.95","604.90","603.75","593.77","625.00","447.80","86,63,742","5,14,42,63,215.75","1,78,670"
"30-Jan-2025","EQ","556.00","578.30","554.60","553.10","568.00","566.95","570.97","625.00","447.80","27,84,958","1,59,01,29,226.85","58,325"
"29-Jan-2025","EQ","542.00","555.95","539.30","538.65","555.95","553.10","549.42","625.00","447.80","21,81,049","1,19,83,01,935.65","51,201"
"28-Jan-2025","EQ","546.00","546.50","536.10","542.35","539.40","538.65","541.23","625.00","447.80","20,48,155","1,10,85,28,725.85","36,981"
"27-Jan-2025","EQ","548.95","550.40","536.20","552.00","542.00","542.35","541.44","625.00","447.80","24,86,727","1,34,64,05,537.55","73,714"
"24-Jan-2025","EQ","559.95","560.45","550.00","557.85","550.40","552.00","554.06","625.00","447.80","15,91,661","88,18,71,447.95","37,745"
"23-Jan-2025","EQ","542.50","559.75","542.05","542.70","556.50","557.85","553.11","625.00","447.80","14,77,011","81,69,50,490.35","38,361"
"22-Jan-2025","EQ","548.00","548.00","531.60","544.25","541.55","542.70","538.68","625.00","447.80","11,91,929","64,20,67,286.40","39,100"
"21-Jan-2025","EQ","557.00","559.90","543.50","552.85","545.50","544.25","549.62","625.00","447.80","17,08,101","93,88,12,799.95","54,745"
"20-Jan-2025","EQ","551.70","555.00","545.35","551.70","554.95","552.85","550.65","625.00","447.80","8,12,869","44,76,03,220.80","23,792"
"17-Jan-2025","EQ","545.00","557.65","543.50","546.30","551.75","551.70","552.00","625.00","447.80","14,61,267","80,66,12,991.10","38,484"
"16-Jan-2025","EQ","546.95","552.95","545.25","546.90","546.60","546.30","548.42","625.00","447.80","8,13,698","44,62,48,491.85","39,781"
"15-Jan-2025","EQ","544.90","552.00","543.15","541.85","545.30","546.90","547.43","625.00","447.80","9,01,487","49,34,97,534.60","58,395"
"14-Jan-2025","EQ","534.95","542.95","531.30","533.65","542.95","541.85","538.78","625.00","447.80","18,31,287","98,66,57,255.80","50,176"
"13-Jan-2025","EQ","546.25","549.00","530.95","548.85","534.25","533.65","538.39","625.00","447.80","17,70,971","95,34,66,891.95","63,330"
"10-Jan-2025","EQ","545.90","555.75","534.50","545.45","547.85","548.85","546.97","625.00","447.80","19,92,839","1,09,00,27,042.45","62,148"
"09-Jan-2025","EQ","541.95","554.65","539.70","539.55","544.05","545.45","548.74","625.00","447.80","28,05,890","1,53,97,08,532.90","87,606"
